ticker_1,ticker_2,sector,eg_pvalue,eg_direction,eg_significant,beta,jo_trace_stat,jo_trace_cv,jo_significant,both_significant,half_life_days,hl_tradeable
BIOCON.NS,ZYDUSLIFE.NS,pharma,0.755335,BIOCON.NS~ZYDUSLIFE.NS,False,0.056068,4.0161,15.4943,False,False,175.4,False
BIOCON.NS,SANOFI.NS,pharma,0.756781,SANOFI.NS~BIOCON.NS,False,3.7137,5.4994,15.4943,False,False,209.09,False
BIOCON.NS,LAURUSLABS.NS,pharma,0.713851,BIOCON.NS~LAURUSLABS.NS,False,0.077574,20.2433,15.4943,True,False,158.98,False
BIOCON.NS,GRANULES.NS,pharma,0.731689,BIOCON.NS~GRANULES.NS,False,0.163691,4.6511,15.4943,False,False,163.42,False
BIOCON.NS,NATCOPHARM.NS,pharma,0.612453,NATCOPHARM.NS~BIOCON.NS,False,1.589915,5.7369,15.4943,False,False,126.43,False
BIOCON.NS,GLENMARK.NS,pharma,0.699587,BIOCON.NS~GLENMARK.NS,False,-0.035641,4.2612,15.4943,False,False,155.27,False
ABBOTINDIA.NS,GLAXO.NS,pharma,0.205199,ABBOTINDIA.NS~GLAXO.NS,False,1.40823,10.5071,15.4943,False,False,96.2,True
ABBOTINDIA.NS,PFIZER.NS,pharma,0.753265,PFIZER.NS~ABBOTINDIA.NS,False,3.228015,8.7892,15.4943,False,False,155.12,False
ABBOTINDIA.NS,ZYDUSLIFE.NS,pharma,0.025731,ABBOTINDIA.NS~ZYDUSLIFE.NS,True,0.734324,17.811,15.4943,True,True,75.45,True
ABBOTINDIA.NS,SANOFI.NS,pharma,0.374561,ABBOTINDIA.NS~SANOFI.NS,False,1.402557,11.2934,15.4943,False,False,111.15,True
ABBOTINDIA.NS,LAURUSLABS.NS,pharma,0.666943,ABBOTINDIA.NS~LAURUSLABS.NS,False,0.293464,7.6145,15.4943,False,False,203.16,False
ABBOTINDIA.NS,GRANULES.NS,pharma,0.492869,ABBOTINDIA.NS~GRANULES.NS,False,0.580913,10.7255,15.4943,False,False,106.24,True
ABBOTINDIA.NS,NATCOPHARM.NS,pharma,0.442102,ABBOTINDIA.NS~NATCOPHARM.NS,False,0.639405,9.8395,15.4943,False,False,179.22,False
ABBOTINDIA.NS,GLENMARK.NS,pharma,0.014838,ABBOTINDIA.NS~GLENMARK.NS,True,0.465742,18.2884,15.4943,True,True,108.47,True
GLAXO.NS,PFIZER.NS,pharma,0.596918,PFIZER.NS~GLAXO.NS,False,1.671284,7.0853,15.4943,False,False,132.18,False
GLAXO.NS,ZYDUSLIFE.NS,pharma,0.129507,GLAXO.NS~ZYDUSLIFE.NS,False,0.283236,7.9991,15.4943,False,False,68.38,True
GLAXO.NS,SANOFI.NS,pharma,0.094227,SANOFI.NS~GLAXO.NS,False,1.126861,13.4385,15.4943,False,False,50.0,True
GLAXO.NS,LAURUSLABS.NS,pharma,0.560453,GLAXO.NS~LAURUSLABS.NS,False,0.099584,5.6319,15.4943,False,False,132.77,False
GLAXO.NS,GRANULES.NS,pharma,0.43723,GLAXO.NS~GRANULES.NS,False,0.209121,7.0619,15.4943,False,False,94.37,True
GLAXO.NS,NATCOPHARM.NS,pharma,0.285495,NATCOPHARM.NS~GLAXO.NS,False,1.076164,8.9708,15.4943,False,False,83.86,True
GLAXO.NS,GLENMARK.NS,pharma,0.155941,GLAXO.NS~GLENMARK.NS,False,0.272822,8.5608,15.4943,False,False,75.18,True
PFIZER.NS,ZYDUSLIFE.NS,pharma,0.590745,PFIZER.NS~ZYDUSLIFE.NS,False,0.305554,5.286,15.4943,False,False,128.18,False
